1,x1,x1^2,x1^3,x1^4,x1^5,x1^6,x1^7,x1^8,x1^9,x1^10,x1^11,x1^12,x1^13,x1^14,x1^15,x1^16,x1^17,x1^18,x1^19,x1^20,x1^21,x1^22,x1^23,x1^24,x1^25,x1^26,x1^27,x1^28,x1^29,x1^30,x1^31,x1^32,x1^33,x1^34,x1^35,x1^36,x1^37,x1^38,y
1.0,0.0014285714285714286,2.040816326530612e-06,2.9154518950437316e-09,4.164931278633902e-12,5.94990182661986e-15,8.499859752314086e-18,1.2142656789020123e-20,1.7346652555743034e-23,2.4780932222490048e-26,3.5401331746414354e-29,5.057333106630622e-32,7.224761580900888e-35,1.0321087972715553e-37,1.4744411389593649e-40,2.106344484227664e-43,3.009063548896663e-46,4.298662212709519e-49,6.140946018156455e-52,8.772780025937793e-55,1.2532542894196847e-57,1.7903632705995495e-60,2.5576618151422136e-63,3.653802593060305e-66,5.21971799008615e-69,7.456739985837357e-72,1.0652485694053368e-74,1.5217836705790525e-77,2.1739766722557893e-80,3.105680960365413e-83,4.436687086236304e-86,6.338124408909006e-89,9.05446344129858e-92,1.2934947773283687e-94,1.8478496818976696e-97,2.639785259853814e-100,3.7711217997911626e-103,5.387316856844518e-106,7.696166938349312e-109,-0.05806151071428571
1.0,0.007142857142857143,5.10204081632653e-05,3.6443148688046643e-07,2.6030820491461886e-09,1.859344320818706e-11,1.3281030862990757e-13,9.486450616421968e-16,6.77603615458712e-18,4.8400258247050854e-20,3.457161303360775e-22,2.469400930971982e-24,1.7638578078371298e-26,1.2598984341693784e-28,8.999274529781274e-31,6.428053235558053e-33,4.59146659682718e-35,3.2796189977337e-37,2.342584998381214e-39,1.6732749988437243e-41,1.1951964277455174e-43,8.53711734103941e-46,6.097940957885293e-48,4.355672112775209e-50,3.111194366268006e-52,2.222281690191433e-54,1.587344064422452e-56,1.13381718887318e-58,8.098694206237e-61,5.784781575883572e-63,4.131986839916837e-65,2.951419171369169e-67,2.1081565509779776e-69,1.5058261078414126e-71,1.0755900770295804e-73,7.682786264497003e-76,5.487704474640717e-78,3.9197889104576546e-80,2.7998492217554673e-82,0.4815016689285714
1.0,0.018571428571428572,0.0003448979591836735,6.405247813411079e-06,1.189546022490629e-07,2.209156898911168e-09,4.102719955120741e-11,7.619337059509948e-13,1.415019739623276e-14,2.627893802157513e-16,4.88037420400681e-18,9.063552093155505e-20,1.6832311030145938e-21,3.126000619884246e-23,5.805429722642171e-25,1.0781512342049747e-26,2.0022808635235245e-28,3.7185216036865456e-30,6.905825835417871e-32,1.2825105122918903e-33,2.3818052371135106e-35,4.423352583210806e-37,8.214797654534354e-39,1.5256052786992371e-40,2.833266946155726e-42,5.261781471432063e-44,9.77187987551669e-46,1.8147776911673853e-47,3.3703014264537156e-49,6.2591312205569e-51,1.1624100838177101e-52,2.1587615842328902e-54,4.0091286564325105e-56,7.445524647660376e-58,1.3827402917083557e-59,2.5679462560298036e-61,4.769043046912493e-63,8.856794229980345e-65,1.644833214139207e-66,0.2844870432142857
1.0,0.02,0.0004,8.000000000000001e-06,1.6000000000000003e-07,3.2000000000000005e-09,6.400000000000001e-11,1.2800000000000002e-12,2.5600000000000006e-14,5.120000000000001e-16,1.0240000000000003e-17,2.0480000000000006e-19,4.096000000000001e-21,8.192000000000003e-23,1.6384000000000005e-24,3.276800000000001e-26,6.553600000000002e-28,1.3107200000000005e-29,2.621440000000001e-31,5.2428800000000025e-33,1.0485760000000006e-34,2.097152000000001e-36,4.1943040000000024e-38,8.388608000000005e-40,1.677721600000001e-41,3.355443200000002e-43,6.710886400000004e-45,1.3421772800000008e-46,2.6843545600000016e-48,5.368709120000003e-50,1.0737418240000006e-51,2.147483648000001e-53,4.294967296000002e-55,8.589934592000004e-57,1.7179869184000008e-58,3.4359738368000016e-60,6.871947673600003e-62,1.3743895347200008e-63,2.7487790694400015e-65,0.6891261425
1.0,0.02142857142857143,0.0004591836734693878,9.839650145772595e-06,2.1084964598084133e-07,4.518206699589457e-09,9.681871499120265e-11,2.0746867498114853e-12,4.445757321024611e-14,9.526622830767025e-16,2.041419178021505e-17,4.37446966718894e-19,9.373863572547728e-21,2.0086850512602274e-22,4.3043251098433446e-24,9.223553806807168e-26,1.976475815744393e-27,4.235305319452271e-29,9.075654255969152e-31,1.9447830548505328e-32,4.1673922603939984e-34,8.930126272272854e-36,1.9135984869156116e-37,4.100568186247739e-39,8.786931827673727e-41,1.8829139630729416e-42,4.0348156351563033e-44,8.646033503906364e-46,1.8527214651227924e-47,3.970117425263127e-49,8.5073944827067e-51,1.8230131034371498e-52,3.9064566502224637e-54,8.370978536190994e-56,1.7937811148980701e-57,3.843816674781579e-59,8.236750017389098e-61,1.7650178608690925e-62,3.7821811304337694e-64,1.122109284285714
1.0,0.027142857142857142,0.000736734693877551,1.9997084548104956e-05,5.427780091628488e-07,1.4732545962991611e-08,3.99883390424058e-10,1.0853977740081573e-11,2.9460796723078555e-13,7.99650196769275e-15,2.1704791055166034e-16,5.891300429259352e-18,1.5990672593703956e-19,4.340325418291073e-21,1.1780883278218627e-22,3.197668318373627e-24,8.679385435585559e-26,2.3558331896589374e-27,6.394404371931401e-29,1.7356240438099518e-30,4.7109795474841546e-32,1.2786944486028419e-33,3.470742074779142e-35,9.420585631543385e-37,2.557016099990347e-38,6.9404722714023705e-40,1.8838424736663575e-41,5.113286714237256e-43,1.3878921081501123e-44,3.7671357221217335e-46,1.0225082674330419e-47,2.7753795830325423e-49,7.533173153945472e-51,2.044718427499485e-52,5.549950017498602e-54,1.5064150047496204e-55,4.088840727177541e-57,1.109828197376761e-58,3.0123908214512087e-60,0.6181228714285714
1.0,0.032857142857142856,0.0010795918367346939,3.547230320699708e-05,1.1655185339441898e-06,3.829560897245195e-08,1.2582842948091354e-09,4.134362682944302e-11,1.3584334529674134e-12,4.463424202607215e-14,1.466553666570942e-15,4.818676333018809e-17,1.583279366563323e-18,5.2022036329937753e-20,1.7092954794122402e-21,5.616256575211647e-23,1.8453414461409696e-24,6.063264751606043e-26,1.9922155612419856e-27,6.545851129795095e-29,2.150779656932674e-30,7.066847444207358e-32,2.3219641602395604e-33,7.629310812215698e-35,2.5067735525851577e-36,8.236541672779804e-38,2.706292263913364e-39,8.892103152858195e-41,2.9216910359391214e-42,9.59984197522854e-44,3.154233791860806e-45,1.0363911030399792e-46,3.405285052845646e-48,1.1188793745064263e-49,3.676317944806829e-51,1.207933039007958e-52,3.968922842454719e-54,1.3040746482351218e-55,4.2848167013439715e-57,1.7523946785714286
1.0,0.03428571428571429,0.0011755102040816327,4.030320699708455e-05,1.3818242399000417e-06,4.737683108228715e-08,1.6243484942498453e-09,5.569194837428041e-11,1.9094382299753284e-12,6.546645359915412e-14,2.24456412339957e-15,7.69564842308424e-17,2.6385080307717396e-18,9.04631324836025e-20,3.1015931137235146e-21,1.0634033532766335e-22,3.645954354091315e-24,1.2500414928313081e-25,4.2858565468501995e-27,1.46943653034864e-28,5.03806810405248e-30,1.727337635675136e-31,5.922300465171895e-33,2.0305030166303643e-34,6.961724628446964e-36,2.3868770154675305e-37,8.183578338745819e-39,2.805798287569995e-40,9.619879843097126e-42,3.2982445176333007e-43,1.1308266917599888e-44,3.877120086034247e-46,1.329298315211742e-47,4.557594223583115e-49,1.5626037337999253e-50,5.357498515885458e-52,1.8368566340178715e-53,6.2977941737755595e-55,2.1592437167230493e-56,1.576523880357143
1.0,0.041428571428571426,0.0017163265306122447,7.110495626822157e-05,2.945776759683465e-06,1.2203932290117212e-07,5.0559148059057015e-09,2.094593276732362e-10,8.677600717891213e-12,3.5950060116977876e-13,1.4893596334176546e-14,6.170204195587426e-16,2.5562274524576477e-17,1.0590085160181683e-18,4.387320994932411e-20,1.8176044121862845e-21,7.530075421914607e-23,3.119602674793194e-24,1.292406822414323e-25,5.354256835716481e-27,2.2181921176539706e-28,9.189653058852163e-30,3.807141981524467e-31,1.5772445352029935e-32,6.534298788698115e-34,2.707066641032076e-35,1.1214990369990028e-36,4.6462102961387254e-38,1.9248585512574718e-39,7.974413998066668e-41,3.303685799199048e-42,1.3686698310967483e-43,5.670203585972242e-45,2.349084342759929e-46,9.731920848576848e-48,4.031795780124694e-49,1.6703153946230874e-50,6.919878063438504e-52,2.8668066262816657e-53,1.5479894817857143
1.0,0.047142857142857146,0.002222448979591837,0.0001047725947521866,4.939279466888798e-06,2.328517462961862e-07,1.0977296611105922e-08,5.175011259521363e-10,2.4396481652029285e-11,1.1501198493099521e-12,5.421993575318346e-14,2.5560826855072204e-15,1.2050104088819754e-16,5.6807633561578845e-18,2.6780741536172886e-19,1.262520672419579e-20,5.951883169978016e-22,2.8058877801324933e-23,1.3227756677767469e-24,6.235942433804664e-26,2.9398014330793418e-27,1.3859063898802612e-28,6.533558695149803e-30,3.080106241999193e-31,1.4520500855139054e-32,6.845378974565554e-34,3.2271072308666187e-35,1.521350551694263e-36,7.172081172272955e-38,3.381123981214393e-39,1.5939584482867855e-40,7.514375541923419e-42,3.5424913269067546e-43,1.670031625541756e-44,7.87300623469685e-46,3.7115600820713724e-47,1.7497354672622185e-48,8.248752917093317e-50,3.888697803772564e-51,1.4787376639285714
