algorithm_name,train_or_test_data,accuracy,precision_1,precision_2,precision_3,precision_4,precision_avg,recall_1,recall_2,recall_3,recall_4,recall_avg,f1_1,f1_2,f1_3,f1_4,f1_avg,auc_1,auc_2,auc_3,auc_4,auc_avg
Logistic Regression,train,0.9513888888888888,0.952054794520548,0.9469964664310954,0.9372822299651568,0.9689655172413794,0.9513247520395449,0.952054794520548,0.9403508771929825,0.9405594405594405,0.972318339100346,0.9513208628433293,0.952054794520548,0.9436619718309859,0.9389179755671903,0.9706390328151986,0.9513184436834807,0.9959620898375279,0.9954997065905826,0.9922560118864968,0.9972214091825811,0.9952348043742971
Logistic Regression,test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884058,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9995989304812835,0.9975586854460095,0.9977898459206871,0.9983773609398325,0.9983312056969531
SVC Linear,train,0.9539930555555556,0.9556313993174061,0.950530035335689,0.9405594405594405,0.9689655172413794,0.9539215981134788,0.958904109589041,0.9438596491228071,0.9405594405594405,0.972318339100346,0.9539103845929087,0.9572649572649573,0.9471830985915493,0.9405594405594405,0.9706390328151986,0.9539116323077864,0.9945643517043644,0.99560897630466,0.9923408000775207,0.9974339132422104,0.9949870103321888
SVC Linear,test,0.9548611111111112,0.9710144927536232,0.9722222222222222,0.9333333333333333,0.9444444444444444,0.9552536231884058,0.9852941176470589,0.9333333333333333,0.9459459459459459,0.9577464788732394,0.9555799689498944,0.9781021897810219,0.9523809523809523,0.9395973154362416,0.951048951048951,0.9552823521617917,0.9995320855614973,0.9975586854460093,0.9975372568830513,0.9983124553774259,0.998235120816996
SVC RBF,train,0.9496527777777778,0.9583333333333334,0.9442508710801394,0.9246575342465754,0.9719298245614035,0.9497928908053629,0.9452054794520548,0.9508771929824561,0.9440559440559441,0.9584775086505191,0.9496540312852435,0.9517241379310345,0.9475524475524476,0.9342560553633218,0.9651567944250871,0.9496723588179727,0.9967306467027717,0.9955280357757138,0.9920379851095786,0.9969808385490383,0.9953193765342756
SVC RBF,test,0.9583333333333334,0.9571428571428572,0.9594594594594594,0.935064935064935,0.9850746268656716,0.9591854696332308,0.9852941176470589,0.9466666666666667,0.972972972972973,0.9295774647887324,0.9586278055188577,0.9710144927536232,0.9530201342281879,0.9536423841059603,0.9565217391304348,0.9585496875545515,0.9995320855614974,0.996870109546166,0.9975372568830513,0.9982475498150192,0.9980467504514334
Random Forest (min_samples_leaf=1),train,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest (min_samples_leaf=1),test,0.9375,0.9178082191780822,0.9571428571428572,0.9324324324324325,0.9436619718309859,0.9377613701460894,0.9852941176470589,0.8933333333333333,0.9324324324324325,0.9436619718309859,0.9386804638109526,0.950354609929078,0.9241379310344827,0.9324324324324325,0.9436619718309859,0.9376467363067448,0.9989304812834225,0.9897652582159624,0.9954218236928518,0.9979230220029855,0.9955101462988056
Random Forest (min_samples_leaf=3),train,0.9661458333333334,0.9757785467128027,0.9614035087719298,0.9515570934256056,0.9757785467128027,0.9661294239057852,0.9657534246575342,0.9614035087719298,0.9615384615384616,0.9757785467128027,0.9661184854201821,0.9707401032702238,0.9614035087719298,0.9565217391304348,0.9757785467128027,0.9661109744713477,0.9993110863332271,0.9989032558327768,0.9983284613769602,0.9995028206906783,0.9990114060584105
Random Forest (min_samples_leaf=3),test,0.9479166666666666,0.9305555555555556,0.9714285714285714,0.9459459459459459,0.9444444444444444,0.9480936293436293,0.9852941176470589,0.9066666666666666,0.9459459459459459,0.9577464788732394,0.9489133022832277,0.9571428571428572,0.9379310344827586,0.9459459459459459,0.951048951048951,0.9480171971551282,0.9987967914438503,0.9936150234741785,0.9960848699166457,0.9986369831894593,0.9967834170060335
